School,County,Date,Days 
43 North Greene CUSD 3,Greene,1/1/2017,129
201 Carrollton CUSD 1,Greene,4/11/2017,229
221 Greenfield CUSD 10,Greene,4/24/2017,242
13 Braceville SD 75,Grundy,11/8/2016,75
56 Morris SD 54,Grundy,1/11/2017,139
122 South Wilmington CCSD 74,Grundy,2/25/2017,184
156 Morris CHSD 101,Grundy,3/22/2017,209
324 Gardner S Wilmington Twp HSD 73,Grundy,6/9/2017,Remain Open for the entire year
561 Minooka CCSD 201,Grundy,After 6/30,Remain Open for the entire year
562 Coal City CUSD 1,Grundy,After 6/30,Remain Open for the entire year
563 Saratoga CCSD 60C,Grundy,After 6/30,Remain Open for the entire year
564 Gardner CCSD 72C,Grundy,After 6/30,Remain Open for the entire year
565 Mazon-Verona-Kinsman ESD 2C,Grundy,After 6/30,Remain Open for the entire year
566 Minooka CHSD 111,Grundy,After 6/30,Remain Open for the entire year
567 NETTLE CREEK C C SCH DIST 24C,Grundy,After 6/30,Remain Open for the entire year
26 Hamilton Co CUSD 10,Hamilton,12/7/2016,104
99 Warsaw CUSD 316,Hancock,2/10/2017,169
170 Hamilton CCSD 328,Hancock,3/27/2017,214
230 Southeastern CUSD 337,Hancock,4/27/2017,245
280 Dallas ESD 327,Hancock,5/20/2017,268
309 La Harpe CSD 347,Hancock,5/31/2017,279
568 Nauvoo-Colusa CUSD 325,Hancock,After 6/30,Remain Open for the entire year
569 Illini West H S Dist 307,Hancock,After 6/30,Remain Open for the entire year
570 Carthage ESD 317,Hancock,After 6/30,Remain Open for the entire year
7 Hardin County CUSD 1,Hardin,10/21/2016,57
571 West Central CUSD 235,Henderson,After 6/30,Remain Open for the entire year
214 Kewanee CUSD 229,Henry,4/17/2017,235
268 Colona SD 190,Henry,5/14/2017,262
275 Wethersfield CUSD 230,Henry,5/16/2017,264
303 Cambridge CUSD 227,Henry,5/29/2017,277
317 Geneseo CUSD 228,Henry,6/3/2017,Remain Open for the entire year
572 AlWood CUSD 225,Henry,After 6/30,Remain Open for the entire year
573 Orion CUSD 223,Henry,After 6/30,Remain Open for the entire year
574 Galva CUSD 224,Henry,After 6/30,Remain Open for the entire year
575 Annawan CUSD 226,Henry,After 6/30,Remain Open for the entire year
12 Dongola USD 66,Iroquois,11/6/2016,73
231 Central CUSD 4,Iroquois,4/27/2017,245
576 Iroquois County CUSD 9,Iroquois,After 6/30,Remain Open for the entire year
577 Crescent Iroquois CUSD 249,Iroquois,After 6/30,Remain Open for the entire year
578 Iroquois West CUSD 10,Iroquois,After 6/30,Remain Open for the entire year
579 Milford Area PSD 124,Iroquois,After 6/30,Remain Open for the entire year
580 Cissna Park CUSD 6,Iroquois,After 6/30,Remain Open for the entire year
9 Elverado CUSD 196,Jackson,10/28/2016,64
27 Murphysboro CUSD 186,Jackson,12/14/2016,111
36 Unity Point CCSD 140,Jackson,12/24/2016,121
61 DeSoto Cons SD 86,Jackson,1/19/2017,147
246 Trico CUSD 176,Jackson,5/3/2017,251
581 Giant City CCSD 130,Jackson,After 6/30,Remain Open for the entire year
582 Carbondale CHSD 165,Jackson,After 6/30,Remain Open for the entire year
583 Carbondale ESD 95,Jackson,After 6/30,Remain Open for the entire year
164 Jasper County CUD 1,Jasper,3/25/2017,212
10 Grand Prairie CCSD 6,Jefferson,10/29/2016,65
41 Farrington CCSD 99,Jefferson,12/30/2016,127
69 Mount Vernon SD 80,Jefferson,1/23/2017,151
82 Woodlawn Unit SD 209,Jefferson,2/2/2017,161
105 Spring Garden CCSD 178,Jefferson,2/15/2017,174
169 Field CCSD 3,Jefferson,3/26/2017,213
262 McClellan CCSD 12,Jefferson,5/11/2017,259
297 Mt Vernon Twp HSD 201,Jefferson,5/26/2017,274
304 Waltonville CUSD 1,Jefferson,5/29/2017,277
584 Bethel SD 82,Jefferson,After 6/30,Remain Open for the entire year
585 Summersville SD 79,Jefferson,After 6/30,Remain Open for the entire year
586 Rome CCSD 2,Jefferson,After 6/30,Remain Open for the entire year
587 Opdyke-Belle-Rive CCSD 5,Jefferson,After 6/30,Remain Open for the entire year
588 Bluford Unit SD 318,Jefferson,After 6/30,Remain Open for the entire year
145 Jersey CUSD 100,Jersey,3/18/2017,205
589 Galena USD 120,Jo Daviess,After 6/30,Remain Open for the entire year
590 East Dubuque USD 119,Jo Daviess,After 6/30,Remain Open for the entire year
591 Warren CUSD 205,Jo Daviess,After 6/30,Remain Open for the entire year
592 Stockton CUSD 206,Jo Daviess,After 6/30,Remain Open for the entire year
593 River Ridge CUSD 210,Jo Daviess,After 6/30,Remain Open for the entire year
594 Scales Mound CUSD 211,Jo Daviess,After 6/30,Remain Open for the entire year
29 Vienna SD 55,Johnson,12/17/2016,114
107 New Simpson Hill SD 32,Johnson,2/15/2017,174
110 Vienna HSD 133,Johnson,2/20/2017,179
123 Buncombe Cons SD 43,Johnson,2/25/2017,184
143 Cypress SD 64,Johnson,3/15/2017,202
595 Goreville CUD 1,Johnson,After 6/30,Remain Open for the entire year
90 Aurora East USD 131,Kane,2/5/2017,164
95 Aurora West USD 129,Kane,2/8/2017,167
329 Kaneland CUSD 302,Kane,6/12/2017,Remain Open for the entire year
340 SD U-46,Kane,6/17/2017,Remain Open for the entire year
596 CUSD 300,Kane,After 6/30,Remain Open for the entire year
597 Batavia USD 101,Kane,After 6/30,Remain Open for the entire year
